173	Gaete	22,179	1: 801
174	Retamal	21,936	1: 810
175	Ibarra	21,585	1: 823
176	Varas	21,540	1: 825
177	Quiroz	21,531	1: 825
178	Gatica	21,495	1: 827
179	Mardones	21,261	1: 836
180	Cordova	20,830	1: 853
181	Andrade	20,812	1: 854
182	Guajardo	20,803	1: 854
183	Barra	20,740	1: 857
184	Valencia	20,614	1: 862
185	Barrientos	20,308	1: 875
186	Villegas	20,200	1: 880
187	Caro	20,038	1: 887
188	Zamora	19,795	1: 898
189	Cisternas	19,597	1: 907
190	Albornoz	19,516	1: 911
191	Manriquez	19,328	1: 920
192	Oyarzun	19,319	1: 920
193	Rebolledo	19,301	1: 921
194	Vallejos	19,265	1: 923
195	Mella	19,229	1: 924
196	Fuentealba	19,130	1: 929
196	Barraza	19,130	1: 929
198	Cid	19,103	1: 930
199	Zamorano	19,085	1: 931
200	Arenas	19,076	1: 932
